transaction_dtm|bban|color|phone_number|lat|long|age
2011-06-27T11:00:09|YCTQ41232812067974|Azure|471.349.3618|-29.653174|167.696244|3
1980-02-21T03:38:08|XVBE49947174648877|Brown|6594013990|-17.6536855|129.370245|71
1972-09-26T23:07:43|TENL42967175655125|Ivory|(680)715-4516x8087|20.930301|-150.899404|25
1982-10-07T09:20:41|NQML03482477109324|LimeGreen|(131)712-7484x67737|57.979092|-102.345936|91
1996-02-08T01:58:21|EPTD14658404499727|LightYellow|886-753-3963x605|36.9635945|24.671914|83
1996-04-10T00:56:41|ZUQD02895171870262|BlueViolet|+1-459-615-8657x809|-71.6334455|-53.958685|89
2012-12-13T14:12:41|RHFC11724005045562|DarkSlateBlue|222-196-9379x23747|-21.4612595|178.007385|69
1970-08-22T13:47:05|XMHO17594647436713|HoneyDew|440-640-9097x439|4.5754365|-62.422836|53
2013-04-28T05:21:21|EGTT21047095214562|DarkOliveGreen|+1-588-424-7451x712|-29.437018|33.358670|28
2007-12-05T01:55:37|JUAN75496513709859|DarkOrchid|7461200471|-63.910221|-53.942695|57
2006-07-31T19:02:25|DLRT86926179640537|LemonChiffon|(515)850-6431|32.0622655|-130.783207|75
2015-02-07T04:57:09|FQZB53293183933529|AliceBlue|+1-228-421-0205x39502|-18.765951|-151.868490|35
1978-08-17T14:24:54|TNTM58917839084700|YellowGreen|+1-617-711-5921x24998|-2.708697|24.496488|0
2010-08-27T06:07:17|NLPC18367365766156|FloralWhite|271.111.6152|59.349632|-147.797958|97
2009-11-28T16:02:44|YORK60494519832731|GoldenRod|(149)368-9980x94024|-7.057556|2.441975|20
1993-11-20T17:37:44|AWOK20183667525459|MediumOrchid|001-229-014-7679x764|-32.1336465|95.063830|89
1977-09-29T22:47:15|ICRP84036900343244|Fuchsia|6226838851|16.587980|-157.289146|54
1999-09-08T07:07:37|AXWO96641605297516|SandyBrown|968.164.5352|-69.4970675|94.063627|43
2013-02-02T21:13:39|CNXJ23124329212779|PapayaWhip|(995)527-1774x490|4.473770|92.374417|35
1975-01-19T00:27:11|ILBV11998679807935|MediumPurple|(071)518-2037x7889|-47.3868885|15.366228|19
1995-05-17T06:52:15|XKUR05151864492519|MistyRose|001-462-914-8652x816|46.496339|14.254981|27
1971-03-30T02:56:27|JEFY73322141888059|Cornsilk|229-270-6537x9473|53.347527|-51.597392|97
1991-01-22T20:47:16|ZUXF97746886239240|MediumVioletRed|+1-818-141-2478x26137|3.841028|-165.681550|43
1998-03-27T07:38:52|BNGZ53051522047277|MediumSlateBlue|001-043-289-8614x341|-77.182356|-51.988767|13
1998-07-27T19:41:26|QQBV79808932460953|Magenta|(185)188-8880|14.8116255|72.401850|11
1972-12-18T01:17:48|QZGA15319520585277|MediumTurquoise|+1-170-430-3054x8687|-22.0016035|-160.339376|48
2014-01-08T19:10:55|EJUW54156676527758|DarkViolet|616-928-4511|-1.974671|174.828306|12
1990-02-13T04:06:07|HPLR57059640165820|Crimson|702.135.5690x9275|9.8615815|58.338089|45
1975-03-26T23:56:43|ONKQ31027868144739|DeepSkyBlue|001-731-217-2715x518|55.5380165|-24.112940|44
1990-05-31T11:07:37|WSYQ58313237058957|Purple|(911)467-8669x12517|35.046147|97.755542|77
1993-06-11T23:04:18|DVOP26801824225358|SlateGray|+1-438-424-9818x29922|86.8272585|155.264709|33
2019-01-15T10:11:14|XIYB01094396907844|LightGray|+1-647-102-7677x3592|-6.0917755|-8.568319|5
2019-12-18T15:12:39|ZIKT88153714732104|Tomato|+1-632-595-3278x77470|-65.827632|31.120291|93
2004-05-24T21:21:58|LGPB47974801624565|Bisque|8358416878|-14.913053|154.600275|58
2016-04-20T09:35:56|PDCJ58523986800025|Purple|(298)259-5269x4958|46.8253365|105.797770|68
2003-05-03T04:54:39|SHVJ16940974993097|DarkGoldenRod|962.309.1307x5626|-35.268244|40.319692|15
2004-02-24T18:59:37|UXWT02838578652785|Lime|497.334.8434x43757|3.6311395|120.909483|48
2019-02-10T01:34:22|HDRJ65240415747338|DarkViolet|421.993.3083x301|20.9447405|-2.674963|10
2018-10-26T00:45:00|MRDZ26773454019380|SpringGreen|(206)724-0049|71.8083205|-122.393381|70
1992-10-19T12:24:30|HZOM28743152742054|Magenta|001-296-685-1612|-52.254787|76.331218|37
1992-01-09T03:54:48|YAJL45499045301742|Indigo|(414)593-3272x7956|57.4340145|72.773899|80
2006-07-31T01:47:21|UVTR91878519108839|LightYellow|(871)397-1870|31.717307|-109.162924|79
2004-12-04T20:15:45|KOOR40640391065180|Teal|7046226567|11.333405|21.673162|46
1975-06-18T14:59:07|RROQ51286823004786|LightSteelBlue|+1-375-243-1069x0331|-62.9157455|138.871339|73
1972-04-14T13:01:37|LRWG06738302843959|MediumOrchid|534.283.6440x89268|43.0421935|-154.829295|24
1993-06-09T11:26:47|YRUI66246287334270|Linen|001-882-634-3517x51830|-17.935392|22.490515|90
2015-11-05T04:57:06|PBBU98373540331739|OliveDrab|385-467-8544x5877|-63.5300555|72.055750|8
1991-10-17T10:35:41|XJKO32048996423536|Magenta|854.777.2522|56.712412|82.162829|5
1982-07-11T12:46:08|XOQB01006231203875|BlanchedAlmond|977.008.8600x8484|-85.3983195|89.625176|84
2017-06-28T09:09:08|RUXC18233984546156|LightCoral|341.016.6687|-74.9367615|161.851520|29
1970-08-23T21:14:41|SCVQ59180339740148|Linen|5039261429|-25.448737|124.242552|98
1996-06-25T12:57:28|ROJT18501631599965|Azure|773.586.6296|-66.996661|152.116879|37
1990-02-06T16:43:24|USCE26551104754121|DarkKhaki|(886)101-5819x956|-86.687341|-23.315645|10
1998-02-28T07:19:13|KCXX39826224447212|LavenderBlush|715-437-9937x12406|-0.8211215|152.963145|29
1995-11-08T05:11:05|UIIV92459375265479|Pink|465-193-9828x073|27.6968555|-23.592749|12
2017-02-23T12:20:38|BWUR24342661797968|LightSalmon|001-680-589-1135x2909|83.149245|167.217831|48
1997-03-12T13:16:01|ZIUC14388899375679|OldLace|071-461-1254|2.091261|64.454845|35
1984-01-29T17:09:52|NJCS75140105123828|DarkCyan|(736)226-6093x79660|-32.3411095|-69.520297|58
1988-12-10T07:09:24|TVBC82553714785969|HotPink|579-249-9125|-58.3617525|-51.917241|81
1990-10-13T06:16:10|DJDK92966278282742|DarkKhaki|+1-905-072-3688x76767|41.1842775|-90.206467|46
1975-08-17T18:56:58|OUFA38427978819148|RoyalBlue|078-361-3407x4517|-58.489429|-52.790554|20
1984-04-13T13:12:11|VPJS62923309584982|Fuchsia|+1-494-812-6042|-54.3810695|-45.955551|47
1979-12-14T21:36:45|SVTR72946671168457|Turquoise|017-518-6363x745|-13.8735625|1.330918|45
2007-03-31T11:26:58|POMI00170127706324|DarkCyan|001-415-415-2064x3611|-89.7083965|-65.420379|26
2002-06-13T02:17:03|CPNL05162713611155|SkyBlue|221-890-9275|-32.808364|157.197902|85
1980-04-20T10:11:11|XQLF12196565234138|MediumPurple|001-404-389-8364|83.454878|-150.703422|34
1986-04-15T20:30:45|MCMP80552696582710|MediumBlue|3006848666|-67.8734525|163.885837|89
2006-07-07T09:22:55|NDCC32856914630316|Coral|042.102.0275x8842|9.8229415|-111.854649|87
1988-04-16T04:15:42|TDXI64814917785079|DarkGoldenRod|191-380-0030|36.638343|15.408393|82
1996-01-24T00:09:16|XEYA63536541951802|DarkRed|(061)744-5187x0534|61.3457185|-16.839935|9
2020-04-30T06:15:30|QMPM38320603850506|SandyBrown|001-138-367-0241|-78.215613|-55.729112|77
2005-05-15T16:27:02|KXLT91826199062344|SeaGreen|001-655-743-1329x1212|30.679654|70.211434|81
1991-05-16T08:09:16|KNZF47411249035213|Wheat|044-206-7883x1712|-57.397639|-173.580675|21
1974-03-13T19:05:59|VZDV51994101372151|Beige|(296)670-6625x324|-14.877116|59.450562|68
1980-02-12T06:05:23|AQGH68701462638380|Yellow|+1-578-759-8564x205|70.2872005|-62.414429|93
1971-12-30T08:11:36|XUBZ85932133480396|GoldenRod|+1-223-955-9059x9293|42.1311055|111.050930|31
1991-01-12T13:20:27|EABP08705932525002|MediumBlue|001-185-156-9154x522|27.2709635|163.203312|20
2003-02-26T10:07:54|QEZS95392644220969|Azure|939.172.5135x5215|29.891310|-173.882021|59
1988-01-18T21:23:00|FSJU00676267658617|Plum|327.104.0541x152|10.786209|-93.615058|48
2019-10-24T14:06:50|BYZI97062962015336|Olive|001-844-431-0698|41.7879245|-97.542032|34
1973-09-16T17:24:44|JLHR97310324171467|LightGreen|186.256.5270x47743|-17.9084385|122.927581|81
1974-03-13T01:19:05|DSCR86938068687937|DodgerBlue|089-899-2172x2332|-78.544276|47.297669|88
1975-05-02T20:38:28|ZLZQ94511686854870|Plum|861.622.9991x1914|53.783016|4.613358|71
1997-12-17T17:27:17|GROM24629960653074|SlateGray|4447132475|-17.6781245|43.753154|28
2011-03-03T20:06:24|QEFV78508214862890|DarkGray|+1-303-070-5345x78610|-25.0552365|19.966569|87
2003-04-06T20:38:46|PEWP55241406029333|NavajoWhite|680.072.2903|-22.249457|146.602135|41
1990-10-15T05:48:21|SSHX57437489691085|Linen|441.715.4544x432|48.8599395|-50.988807|98
1973-11-12T03:24:38|UUPR20744666099353|OldLace|758.428.2417x2482|0.0956525|171.346926|99
1976-01-29T13:25:11|FFWK55494717099917|SlateBlue|(684)602-2356x9725|-41.5858495|-136.614676|7
2003-03-07T21:18:15|IZIB74329271296666|Wheat|083-505-8300x3354|-55.3904005|-124.858944|29
1996-02-07T04:46:11|NHBB47898562575326|Aqua|(230)982-1506|81.8848825|-42.674234|4
2006-05-22T20:55:00|QPBC00167618472304|Khaki|849-926-1891|-14.1114795|-118.789979|40
1977-03-26T04:46:19|MPUV35642087375300|NavajoWhite|001-972-181-1437x447|-76.556700|-126.415500|51
1981-11-21T05:41:18|WWJR61100225579415|RosyBrown|(667)467-6212|-74.257229|-94.425245|34
1977-01-21T19:16:46|KPUR29659027716701|DarkTurquoise|899.358.8916|87.6273015|-46.546244|8
2002-10-18T10:14:56|IRKV89002877217535|Wheat|3866317797|-66.3723495|87.606606|27
2000-06-03T22:31:25|IZTA66088019948837|Turquoise|037-589-9757x1130|1.6323535|10.663786|72
2013-02-13T17:36:55|ZHNS02726149331637|RoyalBlue|(516)091-7798|-53.858922|87.806588|91
1970-04-18T19:29:38|NBYV78292216995866|WhiteSmoke|001-346-547-2269x848|-5.735214|117.201838|40
2013-01-17T22:37:49|FFSR22885158799684|Silver|081-062-0034x24420|-10.7738075|-70.477851|27
2006-10-29T21:43:30|AVCW83863840666580|AntiqueWhite|973.598.9334|30.4778385|-84.745200|83
2016-06-15T13:52:12|BZTD06484229405720|DarkBlue|094-798-5158x328|-71.699019|91.195161|63
1980-11-05T04:12:05|KNCF35554398780157|DarkSeaGreen|930.561.6484x08588|29.6032695|81.351288|50
1972-12-25T22:32:07|HQIC12880133613861|PaleTurquoise|750-110-2481|64.340264|-57.783684|82
1987-08-08T17:31:11|KLKI61809190158144|MediumPurple|766.072.8326|56.4917975|-21.634642|58
2013-02-23T06:58:33|DRXU50882100996881|FireBrick|001-536-822-2394|-37.835953|-118.462490|18
1982-05-05T16:14:58|ROBT87814141397552|Moccasin|(491)357-7594|66.811923|-98.183580|33
2008-06-26T20:54:40|OVYE53364525777547|LimeGreen|(914)283-4110|46.1446415|159.101892|17
1972-02-15T08:04:55|VPTF08488725639427|LightSalmon|580-392-8272|-41.9110815|124.060734|31
2008-07-03T08:19:18|RZTM50373145303856|LightCyan|(005)184-4989x266|8.058606|135.507667|95
2014-06-17T18:25:41|XCGZ38655779082723|BlueViolet|322.259.1365x17773|68.5892255|-93.431574|71
2014-01-17T17:10:13|VABO22809202428699|MediumVioletRed|+1-413-797-7236x92929|87.0731125|94.236298|68
1988-01-01T16:44:39|ERXP13662103886291|DarkGray|001-908-811-7298x068|22.9265075|18.844879|33
1972-12-15T15:56:44|SLYM65991624731498|Ivory|(098)180-6356|7.246056|-122.778570|95
1980-07-14T01:01:09|LPGN95946368872588|LightGray|001-956-213-7213x86589|-76.0271825|-93.704437|74
1996-06-24T05:23:02|ZACD96114351906698|DimGray|001-027-703-8430x98839|-44.5047825|-160.639826|54
1994-06-25T09:16:10|GAEZ65669380118489|Gold|001-439-376-9042x68181|45.0684455|-22.024754|74
1993-02-18T21:33:19|YUYW94769735779071|DarkTurquoise|335-658-8043x4165|-69.5911685|117.722568|51
1982-02-23T06:53:41|MJXG37333433339521|Coral|7908075957|64.221370|-32.503825|46
2003-05-27T00:47:51|ETNK92086780856271|Olive|(003)691-5594x284|-26.343443|-35.362557|28
2002-01-28T08:27:33|YIEL65564729293143|LimeGreen|+1-322-702-6728x85744|60.897890|124.853836|17
1973-03-31T19:42:31|KRBV71754558845061|GoldenRod|939.982.4558x77169|-13.0869135|68.975002|65
2012-12-27T06:59:56|YWQY69961125355449|MidnightBlue|759.876.2202|-27.0177425|175.420649|63
1987-02-15T17:17:10|YSCE11178006811492|Brown|001-643-347-2282x0055|37.816814|70.822587|11
2006-10-15T07:00:46|YODY82997968845783|Purple|(564)240-0825x478|-87.767394|84.103793|96
2002-06-19T13:35:36|HTUP08536866326634|Brown|894.484.6312x2417|75.820477|63.077558|6
1988-07-08T22:19:45|SMID80214427031207|DarkOrchid|757-051-2046x18723|-22.8698045|24.857809|14
1970-11-10T13:26:03|DTGU73037183764520|PaleTurquoise|(147)435-0313x65024|66.9533685|-115.763615|19
1996-12-07T20:50:55|UABU79251327195005|MidnightBlue|+1-127-358-5730|11.406577|12.289710|80
2019-04-19T00:55:57|DXML48739285574982|Blue|448-570-8620|76.3587405|15.461382|20
2012-03-16T02:06:38|GSRO63878294565118|MistyRose|2203173109|82.2689005|28.627401|87
2014-10-09T17:18:59|MQPB39103717058650|RoyalBlue|014.138.1138|13.4365265|-78.284213|54
1983-02-22T00:14:20|NGQE86195761228685|MistyRose|(975)585-5665x93983|10.680227|115.407153|76
1987-04-17T10:04:04|JLYA04908240433504|SteelBlue|(992)107-5224x5933|-21.2150695|-18.776359|8
1976-04-03T07:32:24|OOFC57279194096105|Gold|+1-613-906-0480x5892|-2.2668035|89.724808|49
2017-06-26T03:13:00|FBTK79981364622517|Maroon|6416862278|-36.820648|81.918433|48
1996-11-25T16:51:04|QFQT33146591166553|ForestGreen|042.597.9270x335|-48.1264275|-133.928724|76
1977-08-25T00:21:10|TGQD40514770538338|LightSlateGray|792.069.8042|-73.8643315|-27.521391|59
1983-08-29T07:51:38|UQBR01645104636815|LightGray|123.878.0038x457|15.602458|-95.708447|67
1971-04-02T15:27:32|JJQG84046084325621|PaleGoldenRod|(936)392-6495x78232|65.9692415|110.637122|32
2016-07-20T02:54:20|UWIS82629251881252|Orchid|+1-664-742-3122x099|-18.364614|145.131445|70
2008-08-02T22:22:50|PPGA17289752677223|DarkRed|046-333-1279x75736|18.680595|-157.544689|1
2011-05-16T04:20:42|TJIP99880817703886|WhiteSmoke|6803476447|-45.309094|46.807658|87
1990-01-13T20:12:21|PBND71812982665702|LightBlue|001-371-452-1117x518|13.1026695|94.698834|92
2011-08-27T03:29:10|YJJT59222206447421|SlateGray|001-094-077-7809x73397|31.799497|40.198338|14
2000-01-26T20:55:19|CPGO98302205020994|Gainsboro|162-249-9982|32.2288165|130.830160|87
1994-07-06T12:53:45|YCHJ61681472145868|DarkOrange|(019)817-9469|-5.0432485|-40.596078|68
2005-10-02T16:04:21|OQYP78772934301071|PaleGreen|(966)055-8303|-14.401408|-43.410636|96
1974-08-14T01:47:19|INIA55699023557702|LightGray|857.608.4958x8039|-0.954782|9.835163|34
1974-07-04T17:36:59|ZHAZ82996291450461|LightPink|(743)842-1503|-65.1417705|58.249402|98
2004-06-07T13:35:32|AMNE78452182307681|AliceBlue|001-915-701-8409x4353|-38.3139225|-26.150311|82
1988-10-29T03:52:36|NURH24109881385854|Crimson|+1-493-214-9587|-76.383294|-110.167050|43
1971-12-22T14:48:38|MRCB66299795453817|Magenta|717-477-3329|-20.7294895|15.125381|14
1996-09-06T02:59:42|EXIW57701715772459|Maroon|(615)814-8769x6393|57.0889445|-94.626634|37
2002-10-29T11:41:26|JIVP69583219719975|LimeGreen|+1-246-191-9657x0132|65.8986935|161.521207|55
1970-01-05T13:57:38|TRLH99733549465190|MediumSeaGreen|(240)580-0851x4036|68.4209095|31.671192|20
2012-07-18T18:51:28|IJJO27238656242201|MidnightBlue|762-126-7969|-41.7360095|63.951112|58
2004-08-31T13:50:05|LVKF69097384689500|Magenta|+1-197-128-4781|50.4875185|147.529166|0
1976-01-08T08:18:09|GQRR89490580778795|Khaki|001-442-094-9407x92904|77.588820|-165.344452|92
1989-07-08T20:12:13|MDBU42944401929275|Red|372.805.1292|43.1301015|41.699702|92
1996-01-28T16:01:03|GLQF50410276747836|Navy|428-604-7658x0185|25.906639|147.751942|33
2014-05-17T04:28:30|WIGC96739385258001|AntiqueWhite|175-344-3009|-65.3196985|-149.461759|64
2010-06-07T09:28:04|RVYQ11926921244717|Tan|654.214.0665|-73.878129|-41.359207|97
1988-01-05T06:44:06|EBZF62712863917410|BlueViolet|470.720.0642x569|-89.005782|96.694143|22
2018-02-25T15:12:44|YMLV18306719855460|MediumTurquoise|001-158-517-4328x0634|14.717939|-122.679357|64
2012-11-30T01:43:35|RMXL32030937618478|Wheat|+1-005-050-6138x7829|-27.4583885|-141.327322|13
1972-07-05T14:23:10|TMAX90320204179291|RosyBrown|799-313-6565|-57.572343|129.219932|80
2007-02-24T00:58:00|DVUT92511426258273|Tan|1962071002|-66.0713315|169.908724|38
2010-05-28T06:03:07|XKUU23248763290927|MediumSeaGreen|456-083-3181|76.140325|14.294282|81
2006-09-23T21:12:23|NMQF03127722005436|DarkSlateGray|701.082.2078x1137|69.1034835|131.257232|64
1992-03-08T02:03:34|KTXF15313636317970|SlateBlue|972-652-7354|-35.719427|0.330290|77
1978-08-28T20:46:39|AOHC77625349292983|BurlyWood|+1-739-774-0633x56939|-50.011251|128.003263|25
1970-05-07T04:53:36|KBZT80686717731806|Tomato|431-074-2799|-83.4465585|64.190793|19
2001-07-23T19:59:53|UWKU57016580464989|PowderBlue|+1-195-085-0165x790|8.1322565|16.727219|47
1981-12-05T07:04:47|QSOU25381793355486|DeepPink|5778817884|31.327023|153.370675|97
1995-01-20T07:33:04|UYVY13711624112412|LightPink|+1-804-682-7567x04310|-27.6349105|98.969123|20
2013-11-14T09:50:48|IPRU79887749242437|GreenYellow|025.472.9284|-41.0694495|-85.854669|69
2018-03-10T04:45:20|SRDG05927452380552|GreenYellow|(284)106-7275x20885|83.7432255|-21.324113|99
2002-04-02T02:43:34|XZTZ29751702814069|Salmon|(150)939-8343x018|29.5767435|-133.089866|67
2004-10-29T13:08:49|KMPN05626565045547|Silver|767-426-6299|-66.893619|-102.884248|0
1984-02-21T11:51:33|HZNI96106462879232|SaddleBrown|704.947.8730|-89.3432255|-97.309012|76
1987-11-16T20:56:54|HQQD46273014719597|Magenta|+1-715-890-4290x25725|-46.1621125|-151.605794|41
1988-07-22T06:12:05|JQYB48183219285544|Navy|+1-189-520-2845|40.164090|41.187864|62
1993-02-27T12:39:52|XEFN38988816711207|Gold|+1-279-852-4013|-55.448471|-103.571414|2
2016-10-27T12:06:57|FDDC11076031089071|SpringGreen|4011939325|-82.1458155|-131.263226|14
1979-11-27T20:07:11|VYYJ28938911908334|DarkGray|001-013-875-9271|-41.453842|10.493793|46
1995-11-01T09:12:03|LNKT51718275480157|Coral|947.386.4631|37.6885175|17.268596|39
1982-03-15T10:59:57|ARRK81126691215353|MediumOrchid|001-136-749-9465x79678|-15.1358655|-100.879136|30
2000-12-09T00:11:14|CGMQ20101702695249|MediumSpringGreen|+1-877-347-7848x588|-85.2566415|-163.035673|7
1999-04-16T19:25:17|WDLW77002842762467|PapayaWhip|788.977.8280x647|68.657464|22.828597|30
2011-12-26T02:51:11|RTHB90255905616556|GoldenRod|334.911.4152x08507|86.5681945|46.813485|72
2008-08-27T22:40:03|NKAM05696591713578|Red|294.563.7183x44049|17.918395|-58.728391|10
2012-07-02T19:52:50|TCVC54198763514846|MistyRose|664.987.8208|-39.926336|129.690387|10
2003-12-21T18:34:00|FZTM89690835723246|Ivory|+1-136-442-4936x31230|-24.0758475|-13.279801|93
2001-08-02T18:02:51|MZKX32420448207001|FloralWhite|165.162.3198|-57.6152445|100.223831|62
2015-03-15T04:57:16|VYYG13915596363212|DarkOrange|649.078.5158|23.757931|74.935364|8
2016-06-17T13:20:51|GHUD75409003486451|LightSteelBlue|(760)644-1343|-46.989331|55.603568|97
2012-12-18T08:33:24|IVQU41776561248156|MediumPurple|+1-570-027-2063x4591|-60.2497805|-95.269721|68
1986-12-26T22:19:38|NZVT96577242954316|Green|693-008-9317x3420|17.6519885|151.788397|98
1999-03-10T10:49:20|PDYE91086771333447|HoneyDew|393-436-2620x44397|-23.3426545|18.447749|16
2009-09-01T03:13:36|RLAD56366941180053|LightCyan|990-048-9646x528|-78.960596|131.646536|16
1982-03-17T07:41:55|GNYW21586241502745|Tan|494.856.2572|59.162793|172.949393|84
2013-04-29T01:49:22|UBDF07427617075877|LightPink|+1-215-134-2284x99390|51.2011855|126.439373|60
1982-04-16T01:30:53|KBTR50416591520177|LightBlue|001-905-097-5923x0450|-71.015147|113.752257|70
2010-12-27T00:53:20|JKEZ61032664214764|Snow|515.837.7674x9961|23.423736|17.695214|21
2011-10-10T18:23:55|EQCN73278814761742|WhiteSmoke|+1-438-649-0810|47.8186605|-122.215420|33
2004-10-01T07:32:06|LCRO45491801722601|Khaki|+1-597-794-5232|-69.0028375|144.298416|67
1987-08-25T09:00:54|WCNA10277697499564|BurlyWood|310-303-7236|78.056473|109.149297|77
1982-12-29T04:54:30|CUDK12277707933496|Black|6679984076|40.4867325|95.605752|54
2010-03-22T08:39:34|SYXW30806958146717|MediumSpringGreen|760.243.7573x83959|86.3508565|71.506459|27
1978-12-04T23:07:53|WSKK57293417223297|Chartreuse|743-380-0545x22801|0.659983|51.187602|69
1977-10-03T17:19:52|QDFG55084289107711|Pink|180.812.1352x4787|-63.345905|-97.163112|96
2014-01-13T13:59:28|JVDF60375482145653|DarkBlue|001-632-666-7850|28.8038135|-101.840023|93
1970-09-05T06:38:19|SNBI62606029084668|Silver|001-550-489-2673|56.1430505|155.200548|88
2012-01-26T03:10:58|QSXU63410856288431|LightSeaGreen|520.089.4346|45.633614|-120.706956|25
2019-10-24T14:45:34|BJQJ01749075399893|GoldenRod|926.831.5893|6.9770155|63.905606|91
1976-09-01T12:01:18|DLKC62737158698864|MediumAquaMarine|776.228.2772x8813|32.2541975|74.130835|39
1972-03-21T11:03:47|TYJY96115940821545|FireBrick|(229)604-4327x0185|-71.8632835|-156.011278|51
1998-06-01T21:16:48|MILI67922877725199|Ivory|(658)074-1209|79.1436525|-14.188452|85
2008-03-06T19:59:34|QQCY89098378018204|Plum|971.895.6907|-83.7553185|2.512786|83
1999-09-28T03:02:41|EANJ11182422412462|BlanchedAlmond|001-200-461-5265x46103|-25.676702|140.514415|47
2009-11-17T19:57:41|GNNY40578617063048|Violet|382.496.7183x25823|54.2936205|47.500366|56
2007-10-12T09:12:50|LAMV42007494653984|Bisque|001-914-161-2846|-33.4003365|147.730330|66
2004-05-09T09:00:21|YIRI47435537950209|LightGoldenRodYellow|001-268-768-1180x715|11.032783|142.826319|57
1994-05-12T06:53:02|KVVZ17537030453194|Red|(750)479-3036|-60.2180185|-31.100167|15
2008-09-23T02:42:11|NEFT99219212493843|SandyBrown|8948706056|19.2199165|-32.878258|31
1978-04-14T07:26:03|RMJT30468750635190|Yellow|(613)325-4110|38.8400055|51.900821|28
1971-08-21T02:35:42|PQIG17350583199717|MediumAquaMarine|006-512-0704|73.943904|156.180624|8
1999-05-22T09:59:40|BROH66196399076769|MediumSlateBlue|078-593-1109x193|63.870460|-112.364129|43
2013-05-16T18:16:43|NJMQ23200249685498|Peru|495-450-8920|-26.276817|92.251460|2
2008-01-27T04:52:16|WKFF31537795995946|Gainsboro|073-033-7933|39.049326|-2.019184|75
2020-05-12T19:44:46|JKVA01508124739500|DarkMagenta|342.583.2302|-19.726657|-125.673913|70
1971-06-06T19:15:52|VDRX53473552896112|SkyBlue|338-655-9630|75.363759|135.318177|29
1982-11-14T03:50:06|WHDG42897317912868|GreenYellow|(255)877-7496x9033|-35.507470|62.708636|75
1985-12-13T15:51:20|KHXO54812147853907|LightSeaGreen|776-657-5460x273|-18.6968655|166.472250|28
1975-03-02T05:13:11|JCVN14311150835354|FireBrick|+1-439-284-0445x6690|36.7026065|171.162450|0
2004-11-19T21:49:45|ZYWF37389877515366|DarkOrange|(805)292-4075x536|24.278167|36.556928|9
2016-12-27T22:23:38|NIAU22599996636186|DarkKhaki|974-121-8209|41.161141|-165.591185|90
1982-09-15T06:10:47|FXKF48170580256621|Cornsilk|163-234-6729x94938|33.200180|-32.123752|80
1983-09-23T08:22:07|ADBK38597779014754|HotPink|+1-263-296-7629x1603|-47.6053915|-33.017481|7
2012-09-28T02:13:27|NRBS37681511856724|DarkOrange|0176563600|-22.728536|-118.430186|29
2018-04-03T18:23:21|XITM11837274220912|DodgerBlue|(621)042-7523x08370|80.4002525|100.716090|8
2013-08-15T10:39:46|RRCR70900633533106|Aquamarine|3131220681|-2.183631|-6.762724|4
